Daytime/evening attendance	,Previous qualification (grade),Admission grade,Displaced,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Gender_1,Application mode_2,Application mode_5,Application mode_7,Application mode_10,Application mode_15,Application mode_16,Application mode_17,Application mode_18,Application mode_26,Application mode_27,Application mode_39,Application mode_42,Application mode_43,Application mode_44,Application mode_51,Application mode_53,Application mode_57,Marital status_2,Marital status_3,Marital status_4,Marital status_5,Marital status_6,Target
1,0.139,0.1306,1,0,1,0,0.18,0.06,0.06,0.06,0.12333333333333334,0.06,0.07,0.05,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.136,0.1193,1,0,1,1,0.18,0.08,0.08,0.07,0.13214285714285715,0.08,0.08,0.07,0.13214285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.133,0.13019999999999998,1,0,1,0,0.19,0.06,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.11,0.1118,1,0,1,1,0.21,0.06,0.07,0.06,0.1057142857142857,0.06,0.08,0.05,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1,0.149,0.1371,1,0,1,1,0.18,0.05,0.07,0.04,0.1325,0.05,0.05,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.127,0.1207,1,0,1,0,0.2,0.06,0.06,0.05,0.132,0.06,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.137,0.1374,1,0,1,0,0.18,0.06,0.1,0.01,0.12,0.06,0.14,0.02,0.11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.135,0.1273,1,0,1,0,0.18,0.07,0.08,0.07,0.1330625,0.08,0.08,0.08,0.14545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.137,0.1363,1,0,1,0,0.2,0.05,0.08,0.04,0.125,0.05,0.08,0.04,0.1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.14,0.12459999999999999,1,0,1,0,0.18,0.07,0.07,0.06,0.11666666666666665,0.07,0.08,0.06,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.122,0.12029999999999999,0,0,1,1,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.127,0.12179999999999999,1,0,1,0,0.2,0.07,0.14,0.07,0.114375,0.08,0.09,0.08,0.11425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.142,0.1255,1,0,1,0,0.18,0.08,0.12,0.07,0.1285714285714286,0.08,0.12,0.07,0.1285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.125,0.1149,1,0,1,1,0.19,0.06,0.08,0.06,0.13375,0.06,0.07,0.06,0.12285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.126,0.12390000000000001,0,0,1,0,0.19,0.07,0.08,0.06,0.13296666666666668,0.08,0.09,0.07,0.14114285714285713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.151,0.157,1,1,1,1,0.18,0.06,0.08,0.05,0.11599999999999999,0.06,0.12,0.04,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.115,0.1164,1,0,1,0,0.21,0.06,0.09,0.06,0.11375,0.06,0.09,0.06,0.13285714285714287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.138,0.131,1,0,1,0,0.18,0.05,0.09,0.05,0.12666666666666665,0.05,0.07,0.04,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.135,0.1221,1,0,1,0,0.2,0.05,0.06,0.05,0.12,0.05,0.06,0.05,0.12333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.127,0.1188,1,0,1,0,0.19,0.07,0.09,0.06,0.12933333333333333,0.07,0.07,0.06,0.1371666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.15,0.15,0,0,1,0,0.21,0.06,0.15,0.05,0.11857142857142858,0.06,0.17,0.05,0.1057142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0.125,0.13,1,0,1,0,0.2,0.06,0.07,0.06,0.12833333333333333,0.06,0.09,0.04,0.134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1,0.143,0.1388,0,0,0,0,0.18,0.05,0.09,0.03,0.11333333333333334,0.05,0.08,0.02,0.135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.138,0.1345,1,0,1,0,0.19,0.06,0.06,0.06,0.12666666666666665,0.06,0.08,0.06,0.14375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.13,0.13140000000000002,0,0,1,0,0.34,0.05,0.06,0.05,0.124,0.05,0.09,0.05,0.13428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.13,0.1025,0,1,0,0,0.37,0.07,0.07,0.0,0.0,0.07,0.07,0.01,0.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1331,0.1288,1,0,1,0,0.43,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.14,0.12290000000000001,0,0,1,0,0.55,0.05,0.1,0.01,0.1,0.05,0.08,0.02,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0.12,0.1139,1,0,1,0,0.39,0.05,0.08,0.05,0.11,0.05,0.05,0.05,0.11599999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
1,0.12,0.12,0,1,0,0,0.2,0.06,0.13,0.03,0.11666666666666665,0.06,0.11,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.126,0.1211,0,1,1,0,0.18,0.06,0.06,0.04,0.1275,0.05,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.133,0.12040000000000001,1,0,1,0,0.22,0.05,0.05,0.05,0.14800000000000002,0.05,0.05,0.05,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.103,0.1006,1,0,1,0,0.22,0.07,0.09,0.05,0.13928000000000001,0.08,0.09,0.07,0.1434285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.12,0.12140000000000001,0,0,0,0,0.2,0.06,0.07,0.04,0.13,0.06,0.07,0.05,0.138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1331,0.1097,0,0,1,0,0.29,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.154,0.1341,0,0,1,0,0.24,0.05,0.09,0.02,0.115,0.05,0.11,0.03,0.14333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.13,0.1276,1,0,1,0,0.18,0.06,0.06,0.06,0.11666666666666665,0.06,0.08,0.05,0.132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.132,0.13240000000000002,1,0,1,1,0.22,0.07,0.08,0.06,0.13516666666666666,0.08,0.09,0.07,0.13771428571428573,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.13,0.13340000000000002,0,0,1,1,0.21,0.06,0.06,0.06,0.115,0.06,0.07,0.06,0.13285714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,0.139,0.1261,0,0,1,1,0.19,0.06,0.07,0.05,0.12333333333333334,0.06,0.07,0.06,0.12833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.13,0.1135,0,0,1,1,0.24,0.06,0.06,0.06,0.13666666666666666,0.06,0.06,0.06,0.14166666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0.139,0.12129999999999999,1,0,1,1,0.19,0.08,0.1,0.06,0.11833333333333335,0.08,0.1,0.06,0.11833333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.127,0.12179999999999999,1,0,1,1,0.2,0.06,0.11,0.04,0.14,0.06,0.12,0.03,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.167,0.15930000000000002,0,0,1,0,0.19,0.05,0.07,0.05,0.14714285714285713,0.05,0.05,0.05,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.13,0.12,0,0,1,0,0.27,0.05,0.12,0.05,0.106,0.05,0.1,0.05,0.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.13,0.1291,1,0,1,0,0.18,0.07,0.09,0.07,0.13044444444444445,0.08,0.1,0.08,0.13595000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.13,0.13,0,0,1,0,0.39,0.06,0.1,0.0,0.0,0.06,0.06,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.129,0.15530000000000002,1,0,1,0,0.27,0.06,0.09,0.05,0.13,0.11,0.13,0.1,0.129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.141,0.1398,1,0,1,0,0.18,0.08,0.08,0.08,0.14935,0.08,0.08,0.08,0.14935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.125,0.1152,1,0,1,0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.125,0.1149,0,0,1,0,0.18,0.07,0.08,0.06,0.13133333333333333,0.08,0.12,0.07,0.12221428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.13,0.13190000000000002,0,0,1,1,0.21,0.06,0.07,0.06,0.12,0.06,0.07,0.06,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,0.133,0.126,1,0,1,1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.127,0.13019999999999998,1,0,1,0,0.19,0.06,0.06,0.05,0.114,0.06,0.08,0.01,0.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.116,0.12090000000000001,0,0,1,0,0.24,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.1331,0.126,1,0,1,0,0.29,0.07,0.1,0.05,0.11900000000000001,0.08,0.1,0.05,0.11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0.139,0.12819999999999998,1,0,1,1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.13,0.13,1,0,1,0,0.23,0.06,0.08,0.06,0.12571428571428572,0.06,0.07,0.06,0.12428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,0.125,0.1201,0,1,1,0,0.19,0.05,0.08,0.05,0.11199999999999999,0.05,0.1,0.04,0.1075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.16,0.1,0,0,1,0,0.26,0.06,0.07,0.06,0.12,0.06,0.08,0.05,0.10800000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0.148,0.134,0,0,1,0,0.18,0.05,0.09,0.0,0.0,0.05,0.05,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.15,0.1308,0,0,1,0,0.24,0.07,0.08,0.07,0.11975,0.08,0.08,0.08,0.1375,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.141,0.1358,1,0,1,0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.118,0.11170000000000001,1,0,1,0,0.18,0.06,0.12,0.03,0.11666666666666665,0.06,0.12,0.01,0.12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.142,0.13290000000000002,1,0,1,0,0.18,0.06,0.08,0.06,0.12333333333333334,0.06,0.11,0.03,0.12333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.12,0.1155,1,1,1,0,0.18,0.05,0.08,0.03,0.10333333333333333,0.05,0.11,0.03,0.10857142857142858,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.106,0.106,1,0,1,1,0.21,0.06,0.08,0.04,0.105,0.06,0.11,0.01,0.11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.121,0.12029999999999999,1,1,1,1,0.19,0.06,0.06,0.06,0.13666666666666666,0.06,0.06,0.06,0.13333333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.15,0.1308,0,0,1,1,0.22,0.07,0.07,0.07,0.1484285714285714,0.08,0.09,0.08,0.15055555555555555,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.12,0.117,0,0,1,0,0.33,0.06,0.08,0.06,0.12,0.06,0.06,0.06,0.11666666666666665,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1,0.114,0.1102,1,0,1,0,0.2,0.06,0.08,0.05,0.122,0.06,0.07,0.05,0.122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.14,0.15569999999999998,1,0,1,0,0.35,0.01,0.01,0.0,0.0,0.05,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.16,0.1804,0,1,1,0,0.24,0.12,0.17,0.06,0.12166666666666666,0.12,0.14,0.1,0.133,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.12,0.1255,0,0,1,0,0.18,0.05,0.06,0.05,0.12,0.05,0.08,0.03,0.11333333333333334,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.13,0.11,1,0,1,0,0.33,0.06,0.07,0.06,0.11,0.06,0.11,0.05,0.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1,0.16,0.161,1,0,1,1,0.22,0.08,0.08,0.07,0.1308,0.08,0.08,0.07,0.1308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1,0.12,0.1,0,0,1,1,0.25,0.05,0.07,0.04,0.105,0.05,0.07,0.05,0.11599999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,0.124,0.1176,1,0,1,0,0.2,0.06,0.09,0.06,0.10666666666666666,0.06,0.06,0.05,0.11199999999999999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.143,0.12869999999999998,1,0,1,0,0.23,0.05,0.06,0.04,0.14,0.05,0.05,0.05,0.138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.115,0.11220000000000001,1,1,1,0,0.18,0.05,0.09,0.02,0.1,0.05,0.09,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.1331,0.1008,0,0,1,0,0.24,0.07,0.18,0.0,0.0,0.07,0.07,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1331,0.105,1,0,0,0,0.21,0.06,0.06,0.06,0.14,0.06,0.06,0.06,0.135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.1331,0.1,0,0,1,0,0.26,0.06,0.07,0.02,0.12,0.06,0.06,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1331,0.1155,0,0,1,0,0.39,0.06,0.12,0.03,0.12666666666666665,0.06,0.14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0.1331,0.114,0,0,1,0,0.44,0.08,0.11,0.08,0.11875,0.06,0.07,0.06,0.12333333333333334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1,0.13,0.137,1,0,1,0,0.19,0.05,0.09,0.05,0.14,0.05,0.11,0.03,0.1325,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.135,0.12490000000000001,1,0,1,0,0.18,0.06,0.06,0.06,0.13666666666666666,0.06,0.06,0.06,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.132,0.12029999999999999,1,0,1,1,0.18,0.07,0.07,0.07,0.1375,0.08,0.09,0.08,0.14477777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.135,0.1343,1,0,1,0,0.19,0.05,0.07,0.05,0.142,0.05,0.07,0.05,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.115,0.1115,1,1,0,0,0.19,0.07,0.1,0.04,0.11960000000000001,0.07,0.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.13,0.1288,0,0,1,0,0.21,0.1,0.12,0.08,0.12875,0.09,0.14,0.05,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.1331,0.11,1,0,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.13,0.1135,1,0,1,0,0.36,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0.1331,0.16,0,0,1,0,0.43,0.18,0.19,0.18,0.1463157894736842,0.13,0.14,0.13,0.1423076923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
1,0.123,0.1174,1,0,1,0,0.19,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.13,0.1222,0,1,1,0,0.2,0.1,0.12,0.1,0.13,0.11,0.11,0.11,0.12272727272727271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1,0.122,0.1182,1,0,1,0,0.19,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.113,0.1067,1,0,1,0,0.2,0.06,0.15,0.04,0.142,0.06,0.17,0.04,0.1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.111,0.1082,1,0,1,0,0.2,0.07,0.09,0.06,0.13266666666666665,0.07,0.1,0.05,0.12300000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1331,0.107,1,0,1,0,0.2,0.07,0.12,0.06,0.11666666666666665,0.07,0.1,0.03,0.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.142,0.1361,1,0,1,0,0.18,0.06,0.08,0.06,0.13857142857142857,0.06,0.06,0.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.123,0.1153,1,0,1,1,0.18,0.05,0.09,0.03,0.13,0.05,0.11,0.03,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.131,0.1398,1,0,1,0,0.19,0.05,0.06,0.05,0.134,0.05,0.05,0.05,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.158,0.157,1,0,1,0,0.18,0.06,0.06,0.06,0.12666666666666665,0.06,0.07,0.06,0.12571428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.122,0.131,1,0,1,0,0.18,0.07,0.07,0.06,0.12516666666666665,0.07,0.07,0.06,0.12516666666666665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.13,0.1,0,0,1,0,0.2,0.07,0.11,0.06,0.11616666666666667,0.07,0.07,0.07,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.154,0.1404,1,0,1,1,0.2,0.06,0.13,0.02,0.1,0.06,0.12,0.04,0.1075,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.12,0.1134,0,0,1,0,0.2,0.05,0.11,0.03,0.10333333333333333,0.05,0.1,0.03,0.10666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.14,0.137,0,0,1,0,0.18,0.05,0.12,0.05,0.13142857142857142,0.05,0.06,0.05,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.127,0.12179999999999999,0,0,1,0,0.18,0.05,0.05,0.05,0.126,0.05,0.05,0.05,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.1331,0.131,1,0,1,0,0.21,0.06,0.12,0.03,0.11,0.06,0.12,0.02,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.12,0.1186,1,0,1,0,0.19,0.05,0.08,0.05,0.10800000000000001,0.05,0.09,0.04,0.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.137,0.12229999999999999,0,0,1,0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
